question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
What is the capital of Turkmenistan?,"['Ashgabat', 'Ашхабад', 'Poltoratsk', 'Ashqabad', 'Aschchabad', 'Ašgabat', 'Ashkabat', 'Ishqabad', ""'Ishqabad"", 'Asgabat', 'Askhabad', 'Ashgabad', 'Ashabad', '`Ishqabad', 'Ak-Gaudan', 'Askabad', 'Ashkhabad', '`Ishqábád', 'Ishqabat', 'Ashkabad', 'Aşgabat']",The capital of Turkmenistan is Ashgabat.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of representational state transfer?,"['Roy Fielding', 'Roy T. Fielding', 'Roy Thomas Fielding']",The author of Representational State Transfer (REST) is Roy Fielding. He is an American computer scientist and one of the principal authors of the HTTP/1.1 specification.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Prague the capital of?,"['Central Bohemian Region', 'Středočeský kraj', 'Central Bohemia', 'Central Bohemia Region', 'Czech Socialist Republic', 'Czech SR', 'Česká socialistická republika', 'Czech Republic', 'CZR', 'cz', 'Česko', 'Česká republika', 'ČR', 'cze', 'CZE', 'Czechia', 'Czechoslovakia', 'Czecho-Slovakia', 'cs', 'TCH', 'Československo', 'ČSFR', 'Federation of Czechoslovakia', ""People's Republic of Czechoslovakia"", 'CSFR', 'Bohemia', 'Kingdom of Bohemia', 'České království', 'Königreich Böhmen', 'Regnum Bohemiae', 'Czech Kingdom', 'Bohemia']",Prague is the capital of the Czech Republic.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Rush?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock', 'hard rock']","Rush is a Canadian rock band known for their unique blend of progressive rock, hard rock, and heavy metal.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Thor?,"['Mark Protosevich', 'Mark David Protosevich', 'Ashley Miller', 'Ashley Edward Miller', 'Zack Stentz']",The screenwriter for the 2011 movie Thor was Ashley Edward Miller and Zack Stentz.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is The Police?,"['rock music', 'rock and roll', 'rock', 'Rock']","The Police is a British rock band that is primarily associated with the genres of new wave, reggae, and punk rock.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Uruguay?,['Montevideo'],The capital of Uruguay is Montevideo.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Oasis?,"['Britpop', 'British pop', 'Brit-pop']","Oasis is a British rock band that is primarily associated with the genres of Britpop, Alternative rock, and Indie rock.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Milan the capital of?,"['Lombardy', 'Lombardia', 'province of Milan', 'Milan province', 'Milano province', 'provincia di Milano', 'Western Roman Empire (395-476 AD)', 'Roman Empire', 'Golden Ambrosian Republic', 'Repubblica Ambrosiana', 'Aurea Repubblica Ambrosiana']",Milan is the capital of the Italian region of Lombardy.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Little Shop of Horrors?,"['Howard Ashman', 'Howard Elliott Ashman']",The screenwriter for the 1986 film adaptation of Little Shop of Horrors was Howard Ashman.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Dublin the capital of?,"['Kingdom of Ireland', 'Ireland', 'Éire', 'IE', 'IRL', 'Republic of Ireland', 'Hibernia', 'Ireland, Republic of', 'ie', 'ireland', '🇮🇪', 'Eire', 'Southern Ireland']",Dublin is the capital of Ireland!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of There Will Be Blood?,"['Jonny Greenwood', 'Jonathan Richard Guy Greenwood']","The composer of the score for the 2007 film ""There Will Be Blood"" is Jonny Greenwood, the lead guitarist of the rock band Radiohead.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Angola?,"['Luanda', 'São Paulo da Assunção de Loanda', 'Luanda, Angola']",The capital of Angola is Luanda.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Madrid the capital of?,"['Spain', 'Spain', 'España', 'Kingdom of Spain', 'ES', 'ESP', 'First Spanish Republic', 'Community of Madrid', 'Madrid autonomous community', 'Madrid province', 'Comunidad de Madrid', 'Autonomous Community of Madrid']",Madrid is the capital of Spain.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Senegal?,['Dakar'],The capital of Senegal is Dakar.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Guatemala?,"['Guatemala City', 'Nueva Guatemala de la Asunción', 'City of Guatemala', 'Guate', 'Ciudad de Guatemala', 'Guatemala', 'Guatemala (Guatemala)']",The capital of Guatemala is Guatemala City.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Weimar Republic?,"['Berlin', 'Berlin, Germany', 'Berlin (Germany)', 'DE-BE']",The capital of the Weimar Republic was Berlin.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Cars?,"['John Lasseter', 'John Alan Lasseter', 'John A. Lasseter', 'Joe Ranft', 'Joseph Henry Ranft']","The director of the animated film ""Cars"" (2006) was John Lasseter.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Cars?,"['John Lasseter', 'John Alan Lasseter', 'John A. Lasseter', 'Joe Ranft', 'Joseph Henry Ranft']","The screenwriter for the 2006 animated film Cars was John Lasseter, along with Joe Ranft and Jorgen Klubien.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Roman Republic?,"['ancient Roman religion', 'Roman religion', 'Religio Romana', 'Roman polytheism', 'ancient Roman polytheism']","The Roman Republic was a secular state, meaning it did not have an official state religion. However, the majority of the population practiced some form of polytheistic religion, which involved the worship of multiple gods and goddesses.

The most prominent gods and goddesses in ancient Roman religion were:

* Jupiter (king of the gods)
* Juno (queen of the gods)
* Mars (god of war)
* Venus (goddess of love and beauty)
* Mercury (",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Roman Republic?,"['Rome', 'The Eternal City', 'Roma', 'Rome Italy']",The capital of the Roman Republic was Rome.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Royal Navy?,"['United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland']",The Royal Navy is the naval warfare service branch of the United Kingdom (UK).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of GNU General Public License?,"['Free Software Foundation', 'FSF', 'Free Software Foundation, Inc.', 'Richard Stallman', 'Richard M. Stallman', 'rms', 'Richard Matthew Stallman', 'St. iGNUcius', 'Chief GNUisance']",The author of the GNU General Public License (GPL) is Richard Stallman.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Fox News?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",Fox News is based in the United States.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Bermuda?,"['Hamilton', 'Hamilton, Bermuda']",The capital of Bermuda is Hamilton.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Iron Man?,"['Jon Favreau', 'Jonathan Favreau', 'Jonathan Kolia Favreau']",The director of the 2008 film Iron Man was Jon Favreau.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Craft?,['Andrew Fleming'],The director of The Craft (1996) was Andrew Fleming.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Panama?,"['Panama City', 'Panamá', 'Panama', 'Ciudad de Panamá', 'Ciudad de Panama']",The capital of Panama is Panama City!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Mali?,['Bamako'],The capital of Mali is Bamako.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for 300?,"['Zack Snyder', 'Zachary Edward Snyder', 'Zachary Edward ""Zack"" Snyder']","The screenwriter for the 2006 film ""300"" was Zack Snyder, along with Kurt Johnstad and Michael B. Gordon.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Happy Birthday to You?,"['Mildred J. Hill', 'Mildred Jane Hill', 'Mildred  Hill', 'Patty Hill', 'Patty Smith Hill']","The melody of ""Happy Birthday to You"" was composed by two American sisters, Patty Hill and Mildred J. Hill. The song was originally written as a song for children to sing on birthdays, and it was first published in 1893.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Manila the capital of?,"['Commonwealth of the Philippines', 'Philippine Commonwealth', 'Mancomunidad Filipina', 'Spanish East Indies', 'Spanish Empire in Asia', 'Philippines', 'Republic of the Philippines', 'PH', 'ph', 'the Philippines', 'Philippine Islands', 'PHL', 'RP', '🇵🇭', 'PHI', 'Pinas']",Manila is the capital of the Philippines.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Final Destination?,"['Jeffrey Reddick', 'Glen Morgan']",The screenwriter for the 2000 film Final Destination was Jeffrey Reddick.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of It?,"['Stephen King', 'Stephen Edwin King', 'Richard Bachman', 'John Swithen']","The author of the novel ""It"" is Stephen King.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Athens the capital of?,"['4th of August Regime', 'Metaxas Regime', 'Kingdom of Greece', 'Greece', 'Kingdom of Greece', 'Duchy of Athens', 'Greece', 'Hellenic Republic', 'Hellas', 'gr', 'el', '🇬🇷', 'Greek Republic', 'GRE', 'Ellada', 'Greek']",Athens is the capital of Greece!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The Village?,"['James Newton Howard', 'Jim Howard']","The composer of the score for the 2004 film ""The Village"" was James Newton Howard.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Holiday?,"['Columbia Pictures', 'CPII', 'Columbia Pictures Industries, Inc.', 'Columbia Pictures Entertainment', 'Columbia Pictures Corporation', 'Nancy Meyers', 'Nancy Jane Meyers']","The producer of the 2006 romantic comedy film ""The Holiday"" was Nancy Meyers.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Holiday?,"['Nancy Meyers', 'Nancy Jane Meyers']",The director of The Holiday (2006) was Nancy Meyers.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Holiday?,"['Nancy Meyers', 'Nancy Jane Meyers']","The screenwriter for the 2006 romantic comedy film ""The Holiday"" was Nancy Meyers.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Tool?,"['art rock', 'Art Rock', 'progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']","Tool is a progressive metal band, known for their complex and intricate music, often incorporating elements of alternative metal, hard rock, and ambient music.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Chelsea Clinton?,"['Bill Clinton', 'William Jefferson Clinton', 'William Jefferson Blythe III', 'William Jefferson Blythe', 'William J. Clinton', 'Clinton', 'William Jefferson ""Bill"" Clinton', 'William Clinton', 'President Clinton', 'President Bill Clinton', 'Kelindun', 'William Jefferson, IV Blythe', 'Bill Klinton', 'WJC']","The father of Chelsea Clinton is Bill Clinton, the 42nd President of the United States.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Botswana?,"['Gaborone', 'Gabs']",The capital of Botswana is Gaborone.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Fog?,"['John Carpenter', 'John Howard Carpenter']","The screenwriter for the 1980 horror film ""The Fog"" was John Carpenter.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The Fog?,"['John Carpenter', 'John Howard Carpenter']","The composer of the 1980 horror film ""The Fog"" was John Carpenter.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Prestige?,"['Christopher Nolan', 'Christopher Jonathan James Nolan', 'Nolan', 'Christopher Edward Nolan']",The producer of The Prestige (2006) was Christopher Nolan.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Prestige?,"['Christopher Nolan', 'Christopher Jonathan James Nolan', 'Nolan', 'Christopher Edward Nolan', 'Christopher Priest', 'Christopher McKenzie Priest', 'John Luther Novak', 'Colin Wedgelock']","The screenwriter for The Prestige (2006) was Jonathan Nolan, along with his brother Christopher Nolan, who also directed the film.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The Prestige?,['David Julyan'],"The composer of the score for the 2006 film ""The Prestige"" is David Julyan.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Aruba?,"['Oranjestad', 'Oranjestad, Aruba']",The capital of Aruba is Oranjestad.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Omen?,"['Richard Donner', 'Richard Donald Schwartzberg']",The director of The Omen (1976) was Richard Donner.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Omen?,['David Seltzer'],"The screenwriter for the 1976 film ""The Omen"" was David Seltzer.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The Omen?,"['Jerry Goldsmith', 'Jerrald King Goldsmith']","The composer of the iconic theme music for the 1976 film ""The Omen"" is Jerry Goldsmith.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Phoenix the capital of?,"['Arizona', 'AZ', 'The Grand Canyon State', 'State of Arizona', 'Grand Canyon State', 'Ariz.', 'US-AZ']","Phoenix is the capital of Arizona, USA.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Lily Allen?,"['Keith Allen', 'Keith Philip George Allen', 'Keith Howell Charles Allen']",The father of Lily Allen is Keith Allen.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Republic of China 1912–1949?,"['Nanjing', 'Nankin', 'Nanking', 'Nan Jing', 'Beijing', 'Peking', 'Beiping', 'Peiping', 'Yanjing', 'Zhongdu', 'Khanbaliq', 'BJ', 'Shun Tian Fu', 'Pekin', 'beijing']",The capital of the Republic of China (1912-1949) was Nanjing.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Rand Paul?,"['Ron Paul', 'Ronald Ernest ""Ron"" Paul', 'Ronald Ernest Paul', 'Paul, Ronald Ernest', 'Paul, Ron']","The father of Rand Paul is Ron Paul, a former U.S. Representative from Texas.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of E.T. the Extra-Terrestrial?,"['Melissa Mathison', 'Melissa Marie Mathison', 'Steven Spielberg', 'Steven Allan Spielberg', 'Spielberg']",The producer of E.T. the Extra-Terrestrial was Steven Spielberg.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of E.T. the Extra-Terrestrial?,"['Steven Spielberg', 'Steven Allan Spielberg', 'Spielberg']",The director of E.T. the Extra-Terrestrial was Steven Spielberg.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for E.T. the Extra-Terrestrial?,"['Melissa Mathison', 'Melissa Marie Mathison']",The screenwriter for E.T. the Extra-Terrestrial was Melissa Mathison.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Niger?,['Niamey'],The capital of Niger is Niamey.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Karachi the capital of?,"['Dominion of Pakistan', 'Pakistan', 'West Pakistan', 'Pakistan']",Karachi is the largest city and financial hub of Pakistan.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of French Guiana?,['Cayenne'],The capital of French Guiana is Cayenne.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of In Time?,"['Andrew Niccol', 'Andrew M. Niccol']","The director of the 2011 film ""In Time"" was Andrew Niccol.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is USS Constitution?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]","The USS Constitution, also known as ""Old Ironsides,"" is located in Boston, Massachusetts, United States.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Chad?,"[""N'Djamena"", 'NDjamena']",The capital of Chad is N'Djamena.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Denver the capital of?,"['Colorado', 'CO', 'State of Colorado', 'Colo.']",Denver is the capital of Colorado!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of T. E. Lawrence?,"['Sir Thomas Chapman, 7th Baronet', 'Thomas Chapman']","Thomas Edward Lawrence, also known as T.E. Lawrence, was the son of Thomas Chapman Lawrence and Sarah Junner Lawrence.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Rama?,"['Hinduism', 'Hindu Dharma', 'Sanatan Dharma', 'Hindu religion', 'Hindoo dharam', '🛕', 'ॐ', 'Jainism', 'nirgrantha', 'Jain dharma', 'Jainatva', 'Jaina', 'Jain mata', 'Jaini', 'Jainy', 'jainas']","Rama, the protagonist of the Hindu epic Ramayana, is a devout follower of Lord Vishnu, one of the three primary aspects of the Supreme Being in Hinduism.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Rama?,['Kausalya'],The mother of Rama is Kausalya.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Beau Biden?,"['Joe Biden', 'Joseph Biden', 'Joseph R. Biden', 'Joseph R. Biden Jr.', 'Joseph R. Biden, Jr.', 'Biden', 'Joey Biden', 'JRB', 'POTUS 46', 'Joe R. Biden Jr.', 'Joseph Robinette Biden']","The father of Beau Biden is Joe Biden, the 46th Vice President of the United States.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of James Madison?,"['James Madison, Sr.', 'James Madison Sr.']",The father of James Madison is James Madison Sr.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
